평가,상품명,리뷰,index
3.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"제 피부 타입은 세안 후 아무것도 바르지 않았을 때 10분만 지나도 유분기가 올라오지만 피부 속은 점점 건조함이 느껴지는 수부지 타입입니다. 그리고 트러블이 심해 트러블 자국이 많고 얼굴에 열이 많아 홍조도 심한 피부입니다. 
 
 자극이 적고 성분도 좋은 수분크림을 찾다가 이 제품이 후기가 좋아서 구매를 하게 되었습니다. 먼저 용량이 생각보다 작아서 금방 쓸 것 같아요. 그리고 수분크림답게 수분감이 많이 느껴졌어요.
 발랐을 때는 안에 작은 수분 캡슐이 있는데 이게 가끔 잘 안터지는게 있어서 약간 거슬렸어요. 그래도 수분감있고 유뷴감 적어서 제품력은 좋다고 느꼈습니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",58
3.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"제 피부 타입은, 민감 복합성 입니다. 그리고 트러블이 있는 피부입니다 ㅠㅠ 근 1년간 스킨로션 정말 자주자주 바꿔주고 돈도 그만큼 깨졌었어요 무슨 생각으로 그렇게 자주 바꿔댔는지 좀 정착하고 써볼걸 그랬어요 ㅋㅋㅋ 쓰고 있는 보습크림이 너무 보습위주고 진정은없고 무거운 느낌이라ㅠ 그리고 패드도 자극도 있고 유분감이 높은 느낌이 나서 유분은 덜하면서 수분을 채워주고 건조함 잡아주고 자극덜한 크림 찾다가 여러상품들과 엄청 고민거민 하다가 이걸로 구매했어용!ㅎㅎ 무향이고 되직한 타입 아니고 젤수분크림이라 흡수 빠르고 건조함도 잡아줘서 좋았고 아직 자극도없어요 다만 알갱이 같은거 터뜨려가며 발라줘야 하는 귀찮음..묻어남이 있는건 좀 ㅠㅠ 그랬어용 아침엔 바르기 귀찮아서 밤에만 발라주려구요 이거 외엔 좋은거 같아요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",59
1.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"순하긴하네요
 보습도잘되는편이고 
 발림성 흡수력 모두 상워권 입니다
 자극없이 순한걸찾으시는분들 추천드려요",60
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"잠깐 다른거 쓰다가 다시 넘어왔네요ㅋㅋ
 1+1 이라서 좋습니다",61
1.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),아주 순해서 너무 좋더라구용ㅎㅎ 수부지 쓰면 좋을거 같아요!,62
2.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"제가 크림이 정말 맞는 게 없어서 힘들었는데 이 제품은 바르면 피부가 붉게 변하지도 않고, 좋아요. 가끔씩 따가울 때가 있는데 그럴 때마다 한 번더 바릅니다. 제가 복합성이라 지성용으로 써야하는데 정말 딱 맞는 지성용이라 좋습니다. 모든피부용이라는 단어는 없어졌으면 해요. 이거 믿고 샀다가 실패한 경우가 많아서 슬픕니다.
 
 캡슐은 왜 있는지 의문입니다.
 처음엔 캡슐이 있는지도 모르고 발랐어요.
 계속 얼굴에 알갱이들이 있어서 내가 문제 있는 줄 알았는데 알고보니 크림에 있는거네요...
 캡슐은 흡수가 거의 안 돼요.
 얼굴에서 알갱이들이 굴러 다녀요.
 이건 좀 불편합니다.
 얼굴에 계속 붙어 있어요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",63
1.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분크림 필요해서 사러갔는데 직원추천이더라구요 ㅎ
 생각보다 너무 촉촉하고 자극이없어 자기전에 부담되지않아서 좋아요!!
 트러블에도 좋은것같고 피부가 촉촉해졌어요 :-)
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",64
3.4,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"마스크 때문에 열감도 강하고 홍조가 유달리 불긋부ㄹ긋하게 간지럽게 올라오는 계절이에요 
 
 이 계절에 피부가 가장 많이
 뒤집어지는데 ... 얼른 ㅠㅠㅠ 필뇨하겠다 싶어서 구매했어요 
 
 평소에 메디힐 티트리팩 데일리로하면서 가라앉혔는데
 
 계절이 계절인지라 부족해서 추가로 사용하니 너무 좋아요!! 
 
 썬크림 사용하기전에 얇게 레이어드해서 발라주고 썬크림 발라주면 딱 좋아요! 
 
 튜브형은 냉장고에 넣어두고 자기전에 조금씩 짜서 바르면 
 볼도 시원해지고 오히려 더 좋다라구요 ㅠㅠ 
 
 피부에 아무거나 쓰기 예민한시기에 얇고 빠르게 흡수되어서
 여러번 겹겹 바르니간 넘 행보캐요...
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",65
2.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"민감성 피부인 저에게 자극없이 순한 수분크림이었어요
 수분이 바로 충전되는 느낌이었고 화장도 밀리지 않아서 너무 좋았어요
 특히 성분도 좋아서 듬뿍듬뿍 바르고 다녔어요ㅎㅎ
 다만 알갱이?같은 것들이 잘 터지지 않아서 화장을 한 후에도 가끔 알갱이들이 남아있었어요
 그것 빼면 나머지는 너무 만족스러운 수분크림이었습니다!
 구매 강추강추!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 라운드랩 자작나무",66
3.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"피부가예민한편인데지복합성피부에
 마스크도많이쓰고트러블에건조해서
 순한수분크림찾고잇엇는데성분도좋고
 바르면속당김없이끈적이지않고가볍게스며들어좋아요
 수분알갱이가잇어서수분감을더해주긴하지만
 잘안발라주면알갱이채올라가잇긴하네요
 데일리로발라주긴좋아요!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",67
3.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"자작나무 수분크림 선크림도 로션처럼 흡수되서 진짜정말 좋은데 수분크림도 정말정말 순하고 좋아요 ㅠㅠ 제품써보고 남친도 써보라고 구매해서 써봣는데 피부가 져보다 더좋아졋서요 남친 피부타입이 왕왕 여드름 지성피부 엿는데 특별관리 해주고 제품싹다 좋은걸로 바꿔서 후관리 져보다 더 열심히해서 쫀떡 쫀떡 말랑이 처럼 깨끗 해지고 트러블 도많이 좋아졋서요 ㅠㅠ 건성이든 합성이든 지성이든 다 무난하게 쓸수있는 제품이여서 좋은것같아요 ㅎㅎ 기름지에 뜨지도않고 산뜻하고 깔끔하게 마무리 처리되어서 남녀노소 상관없이 쓰기 너무 좋은 순한제품입니다 여러분들 사세용!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 수분크림 진정크림 순한크림",68
3.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"리뷰 합니다 !!
 이 제품은 제 인생템이라 여러번 사용 후기를 적습니다 저는 크림 바를 때 한번바르고나서 흡수시키고
 또 한번 더 바르는 스타일입니다 !!
 저는 이 수분크림은 냉장고에 넣고 사용해요 그러면 더 바를 때 시원하고 홍조나 울긋불긋 한부분에 바르면 진정되는 느낌이고 피부가 탱탱해 지는 느낌이라 추천해드립니다
 향도 괜찮고 바림도 괜찮아요 바르고 나서 꼭 톡톡 두드려주시면 좋을 거같아요
 처음에 살 때 화해어플에서 9900원으로 샀는데 
 1+1은 언제 또 하려나요?ㅠㅠ
 아쉬운점은 너무 다 좋은데 용량에 비해서 가격이 좀 비싸요ㅠㅠ 나중에 1+1 행사하거나 가격이 떨어졌을 때 다량으로 사서 쟁겨써야겠어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",69
2.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"울언니가 예전에 써보고 성분도 착하고 좋다고 해서 마침 세일도 하고, 20ml 증정품 기획도 있고! 쿠폰까지 써서 저렴하게 득템했어요 :)
 
 제형은 일반 수분크림처럼 부들부들하고 특이한 점은 수분 알갱이가 문지르면 톡톡 터지면서 피부에 스며 들어요
 유분감도 어느정도 적당량 느껴지고 시간이 지난뒤 흡수도 좋아 피부가 촵촵 산뜻해요 :)
 
 라운드랩은 독도라인만 유명한줄 알았는데 받고보니 
 2020 올리브영 어워즈 트렌드 클린뷰티 부문 선정! 
 화해 2020뷰티 어워드 크림부문 수상!
 언니의 파우치 추천템 까지! 엄청 유명한 크림 이였네요~
 
 요즘 피부가 많이 거칠어 졌는데 피부개선에 도움을 받게되면 재구매 하겠어요 :)
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",70
3.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"마침 크림을 사야 했는데 라운드랩 토너를 워낙 잘 쓰고 있어서 크림도 라운드랩꺼로 한번 사봤어요! 제형은 무겁지도 가볍지도 않은 적당한 느낌이라서 한 여름만 아니면 두루두루 사용할 수 있을것 같아용. 그리고 안쪽에 이중덮개로 되어 있어서 위생적으로 쓸 수 있어요~! 아직 쓴지 일주일정도밖에 안돼서 사실 피부로 느껴지는 엄청난 변화가 있는건 아니지만, 일단 자극없이 피부에 흡수되는 점은 좋더라구요! 악건성 제외하고 크게 호불호 갈리는거 없이 무난하게 쓰기 괜찮은 제품이라고 생각해요 🙂
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",71
4.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"📍피부타입
 ▫️건성인데 수분크림을 아무리 발라도 금방 수분이 날아가고
  건조한 느낌이 들었는데 마지막 기회라 생각하고 구매해보자
  하고 사서 발라보았는데 너무 좋고 수분감이 조금씩 생겨
  나는 것 같아요.
 
 📍개선된 부분
 ▫️세안 후 5분정도 아무것도 바르지 않으면 건조하고 피부 당김
  심했는데 이 상품을 꾸준히 바른 후 부터 세안 후 5분 정도
  아무것도 바르지 않아도 건조함과 피부당김이 덜 해요.
  피부 속에 수분이 조금씩 채워지고 있는 것 같아서 꾸준히
  사용해보려구요.
 
 📍보습력
 ▫️바르다보면 알갱이 같은 것들이 있는데 처음에는 제 손에
  있는 먼저 인 줄 알았어요. 하지만 수분알갱이들이어서 
  피부에 발라주면서도 톡톡 터져 수분이 흡수 되어 다음날
  까지고 촉촉하게 보습이 잘 되는 것 같더라고요.
 
 📍발림성
 ▫️꾸덕하지만 수분제형이어서 좀 묽은 꾸덕함이에요.
  그렇다고 흐르거나 그런건 아니고 적당해서 기분좋게
  발리는 것 같아요.
 
 📍향
 ▫️자극적이지 않은 향이고 1+1이라 더 바람직한 것 같아요.",72
3.4,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"겨울철에 너무 피부가 건조해져서 세럼만으로는 부족해서 결국 수분크림을 사야될것 같아 구매했습니다!!!
 
 겨울이라 살짝 무거운감이 있는 크림을 사용하고 싶어 이것저것 비교해보다 겨울철에는 이 자작나무 수분크림이 좋다고 해서 구매했어요.
 
 막 가볍지만은 않구 적당한 꾸덕함이 있어 피부에 바르고 나면 뭔가 피부가 쫀쫀한 느낌이 들었어요.
 
 피부에 흡수는 잘 되는 편이였고 전단계에 바르는걸 미는 느낌은 아니였어요
 패키지로 수분크림 20ml더 와서 양도 넉넉해서 좋았어요
 
 안좋았던 점은 다 바르고 나면 투명한 알갱이(사진참고해주세요 손톱 위에 작게 올려져있어요)가 보이는데 이게 잘 융화가 안되어서 떼어내야 될때가 있더라구요ㅠ 
 그거 말고는 크림 자체는 확실히 수분감이 느껴졌어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",73
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),좋다고해서 샀는 데 저한테는 조금 건조한 느낌이 드네요ㅜㅜ 수부지 피부인데 듬뿍 발라도 금방 흡수되서 얼마안가 금방 건조한 느낌이 들어서 아쉬웠어요ㅜㅜ 완전 지성인 분들은 산뜻하게 쓰시기 좋을 것 같기도 한데 저는 좀 아쉬웠네요ㅜㅜ,74
1.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여드름 있는 수부지 피부인데 여름에 쓰기 딱 좋아요! 유분감이 많이 없는 편이라 겨울에는 다른 제품 이용해야 할 거 같아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",75
1.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"보습이 좋은 것 같아요
 라운드랩 꺼 수분선크림 발라봤는데
 순하고 자극적이지 않아서 좋았어요
 깔끔하고 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",76
2.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"평소에 자작나무 마스크팩을 워낙 많이 사용하기도 하고 자작나무 수분크림이 후기가 좋은거 같아서 조금 여름에 가볍게 바를만한 수분크림으로 구매해봤어요~
 
 일단 처음 바를 때 알갱이 같은게 있어서 이게 뭐지 했는데 알고보니 수분 보충 역할을 해주는 알갱이더라구용 이게 생각보다 잘 안터져서 일일히 손으로 터뜨려줘야하는건 조금 번거로웠어용😅 
 
 그래도 수분크림 자체가 피부에 자극도 없고 무향인데다가 성분도 괜찮아서 온가족이 쓰기도 괜찮은거 같아요 게다가 흡수도 엄청 빠르고 마지막 느낌이 되게 부드럽고 가벼운 느낌이라서 여름 수분 크림으로는 제격이네요‼️
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",77
2.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"올리부영에서 늘 구매하던 수분크림이 있어요!! 
 진짜 수분감이 많고 진정에 좋아서 사용햇엇는데
 
 저는 한 상품을 오래 못쓰는 사람이라 비슷한걸로 직원분께 추천받아서 구매해보앗어요 ㅎㅎ
 
 가장 마음에 들엇던건 유분과 수분의 밸런스가 맞춰지기 
 정말 좋앗다는 점이에요! 수분크림하면 수분으로 초점이 맞춰줘서 
 
 수부지분들은 금방 속이 건조해지기 마련인데 
 요것은 안에 수분캡술까지 들어가잇어서 보습 유지에도
 정말 좋앗습니당 ㅎㅎ
 
 전혀 꾼적이지않는 제형이라 남자분들 아이들도 사용하기 좋고
 
 요새 클린뷰티가 대세잖아요!! ? 라운드랩이 환경도 생각하는 브랜드라고해서 좋아용
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",78
3.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"👉 수부지분들께 추천
  끈적이지 않고 흡수 잘되며 수분감이 좋아요
 tip. 
 저는 호호바오일 믹스해서 사용하는데 수분감이 더 오래 지속됩니다
 
 👉 세일을 자주한다는점
 👉 휴대용도 같이 온다는 점
  저는 듬뿍 듬쀽 바르는 스타일이라 고가 화장품은 부담되더라구요. 이제품은 세일도 자주하고 덤으로 휴대용도 줘서
 가방이 탱갸다니기도 좋고 듬뿍 쓰기에도 좋아요
 
 👉 튜브타입으로 대용량 나오길 !!
 스파츌러는 너므 귀찮고 손은 뭔가 찝찝하고
 미니어쳐 크림처럼 튜브 타입으로 나오면 더 위생적이고
 페이스,바디 구분없이 사용하기 편할 것 같아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",79
3.4,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"올리브영 베스트 랭킹에다 여러 리뷰들 꼼꼼히 보고 산 제품이에요! 제 피부가 민감한 건성이라 민감 부분을 많이 신경써서 유해성분까지 꼼꼼하게 보고 구매했어용 피부가 건성이라 조금만 건조해도 속당김이랑 들뜸이 심해서 수분크림을 잘 골라야하는데 이 제품은 여름에 쓰려고 샀어용 너무 가볍지도 않은 제형에다 수분감도 많아서 여름에 데일리로 잘 사용할거같아요! 지성이신 분들도 사용하시기에 거부감 없을거같고 바르고 나서도 끈적임도 없어요. 라운드랩은 기초 순한 제품으로 유명한데 이번 제품도 대만족 입니당 건성, 민감성, 지성이신 분들 사용해보세용
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",80
3.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이제 기온도 올라가고 날도 따듯해져서 
 앞으로 쓰기 좋은 제품을 고르고자 고민하다가
 자작나무 수분 크림이 성분도 순하고 착하고 
 자극 없다고 그래서 구매해 보았습니다 !! 
 
 우선 뚜겅 열자마자 푸르스름한 조금 묽은 크림이 
 들어있어용 !! 엄청 꾸덕한 제형은 아니였고 
 수분젤타입 정도의 제형이였습니다 !! 
 향도 인위적인 인공향이 나지 않았어요 
 거의 무향에 가깝습니다 ㅎㅎ! 
 발랐을때 사용감은 촉촉하게 잘 스며들고 
 끈적거리거나 그러지는 않았어요 
 그리고 자극도 없었어요 역시 순한걸론 최고!!👍🏻
 다만 많이 건조하신분들에겐 조금 가벼울수 
 있을것 같습니다~! 참고하심 될것같아용ㅎㅎ
 민감성, 지성, 복합성, 수부지는 추천!! 
 건성, 극건성 분들은 가벼울것 같네용!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 순함 촉촉 수부지",81
2.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"쫀쫀한 워터크림? 제형이에요 수부지라서 수분크림 계속 갈아타는데 괜찮다고 해서 구매해봤는데 좋더라구요 계속 써보고 재구매할까 생각할 정도에요!! 속이 채워지는 기분이 딱 들어서 건조한 느낌도 없도 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",82
2.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"딸아이가 너무 좋아해서 쟁여두고 삽니다. 일단 화해에 보니 알러지, 유해성분이 없어 안심이라 아이들 쓰기에도 안심입니다. 40대 엄마가 쓰기엔 좀 묽다싶은데. 쓰다보니 아침 화장전 쓰고 파운데이션을 발랐더니 오후에 피부 건조함이 확실히 덜하네요. 미백앰플, 주름개선앰플 바른뒤에 쓰기에도 딱입니다. 어떤 기능성 앰플과도 잘어울리니 많이 쓰게되요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",83
3.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"저는 수부지,복합.민감성인데요
 순하고 자극없고 피부에 잘 펴발라지네요.
 수분이 엄청난건 사실 크게 모르겠고
 도톰하게 막을 만들어주는것 같아요.
 이것만 바르면 얼굴이 당김이 있으니 기초도 같이 발라주어요.
 바를때는 시원한 느낌이 나서 좋아요.
 흡수도 잘 되구요
 수시로 올라오는 홍조에도 듬뿍 듬뿍 발라줍니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",84
2.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"라운드랩 제품은 독도토너와 자작나무 토너를 잘 사용중인데 자작나무 수분크림도 좋네요!ㅎㅎ 저번에 사은품으로 받은 크림 샘플을 사용해 보고 본품 구입했어요~ 제일 좋은점은 쿨링감과 속건조를 잡아준다는 점이에요!👍 이 수분크림으로 수분 채우고 좀 더 꾸덕한 크림 한번 더 발라주면 속건조 겉건조 다 잡을 수 있어요 ㅎㅎㅎ 여름에는 이거 하나만 발라도 될것같아요~ 👏👏
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",85
3.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"제 피부 타입은 일단 티존 나비존엔 기름기가 뿜어져나오는 지성이고 이마 볼쪽은 건조한 복합성 피부입니다!
 독도토너로 닦토해주고 수분이나 진정에센스 바른 후 자작나무 수분크림을 바르는데 일단 이거 쓴 후 속건조가 잘잡히는거같아요!! 너무 만족스럽게 잘쓰고있습니다❤️❤️ 완전 건성이신분들은 바르고 조금 건조하실수도 있을거같아요 ㅎㅎ 그리고 단점이라하면 안에 들어간 알맹이 몇몇개가 겉돌지만 그냥 그러려니 하고 잘쓰고있습니다 ㅎㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",86
2.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"두 통 다 쓰고 원플원 행사하길래 구매했어요! 가끔 터지지 않은 알갱이들이 메이크업할때 나오는것 빼고는 다 좋아요 
 수부지인데 수분감도 적당하고 마무리감도 끈적이지 않아서 맘에 들어용 ! 기획으로 수분패드 10매 같이 들어있는데 냉장고에 잠깐 넣어뒀다가 얼굴에 올려주니 쿨링감 너무 좋고 메이크업도 잘먹는 느낌이었어요 ㅎㅎ다 쓰면 패드도 같이 구매하려구요 !",87
3.4,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),지난번 샘플을 잘 못 써서 얼굴이 지금 많이 뒤집어진 상태입니다 원래 피부가 정말 애기 피부처럼 좋았는데 제품 하나 잘못 썼다고 얼굴이 뒤집어지니까 너무 속상하고 이제품 저 제품 많이 써 봤는데 다 안 맞아서 너무 속상해요 장벽이 많이 무너졌나봐요 그래서 오늘 올리브영 매장에 가서 직원의 추천을 받아서 산 제품입니다 하도 후기가 좋고성분도 좋고 사람들의 후기가 너무 좋아서 궁금해서 사봤는데 수분 감도 많고 순한 제품인것 같아요 가격이 저렴하진 않았지만 원플러스 원 의 패드까지 주셔서 부담 없이 살 수 있었습니다 여름에 복합성 수부지 민감 피부가 쓰기 너무 좋을 것 같아요 유수분 밸런스가 맞아야 여드름이 안 난다는데 이 여름에 유부는 폭발 하는데 수분이 너무 없어서 걱정 하던 도중 찾은 제품이 자작나무 수분 크림이었어요 사용감은 맘에 듭니다 근데 아직 몇일 써보지는 않았는데 피부에 좁쌀 여드름 몇 개 나긴 합니다 그게 이 제품 때문인지는 모르겠으나 꾸준히 사용해 보고 리뷰 수정 하던지하겠습니다,88
1.8,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"복합성인 저에게 딱 좋은 제품이에요
 무겁지 않고 촉촉하면서 흡수가 잘돼요",89
1.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),크림은 이것저것 정말 많이 썼는데 이 제품이 촉촉하면서 흡수도 잘되고 좋네요,90
1.6,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"쭉 사용하는 제품이에요
 촉촉하면서 무겁지 않고 흡수 잘되는 크림은 이게 제일인듯
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",91
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),라운드랩 아이템 좋아서 구매해봄! 여름에쓰기넘좋긔!!,92
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),너무 좋은 가격에 구매했네요. 수분감 좋고 잘 발려서 좋습니다.,93
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"헐 원플원이라 바로 삼ㅋㅋ
 이거 진짜좋아여 ㅋㅋㅋ
 남친이랑 하나씩 나눠가지려구용",94
3.2,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"더운데 출퇴근 시 대중교통 이용 시간이 길고 직업 특성상 사람 만나는 일이 많아서 kf94 마스크를 사용하다보니
 와우... 건성이 됐다고 생각했던 내 피부에 피지 대폭발....
 그래서 수분을 줄 수 있는 크림을 찾다가 행사하길래 구매해봤어요 행사가도 막 저렴하진 않네요 ㅋㅋ
 일단 저는 용기형태를 선호하지 않는데 리스트를 찾아봐도 단지형 제품밖에 없네요ㅠ 그래서 이걸로 구매했어요 선크림처럼 튜브형 내주세요 바쁜 아침에 쓸려면 튜브가 최고라서..
 완전 투명한 젤같은 제형은 아니고 살짝 불투명한 제형이에요 수분감 채워주기 좋고 금방 날아가서 건조해지지 않아요 무겁지 않은데 보습감은 채워주는 느낌이고 성분이
 착해서 만족스러워요 대신 캡슐같은 알갱이가 좀 불호.. 에*** 크림도 알갱이가 들어있었는데 이것도 이유가 있겠지싶어 쓰려구요 하나는 동생한테 선물로 줘서 같이 써보려구요 ㅋㅋ 1+1의 장점",95
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"가볍게 발리는 수분크림이에요 너무 맘에 들어요!!
 트러블에도 좋다니 최고에요 ㅎㅎ",96
